1621442935.628873 client started (61478): version 3.2, socket /private/tmp/tmux-501/default, protocol 8
1621442935.628925 on Darwin 20.3.0 Darwin Kernel Version 20.3.0: Thu Jan 21 00:07:06 PST 2021; root:xnu-7195.81.3~1/RELEASE_X86_64
1621442935.628951 using libevent 2.1.12-stable (select); utf8proc 2.6.1; ncurses 6.2
1621442935.633213 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633221 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633228 sending message 112 to peer 0x7f9cf8048000 (8 bytes)
1621442935.633236 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633243 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633251 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633259 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633268 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633278 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.633287 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.633296 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.633305 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.633314 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633322 sending message 112 to peer 0x7f9cf8048000 (8 bytes)
1621442935.633331 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633338 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633347 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633354 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633363 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633371 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633379 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633387 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.633395 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.633402 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.633410 sending message 112 to peer 0x7f9cf8048000 (8 bytes)
1621442935.633417 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.633426 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633434 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633458 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633467 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633476 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633484 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633494 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633503 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633513 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.633523 sending message 112 to peer 0x7f9cf8048000 (10 bytes)
1621442935.633532 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.633540 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.633546 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.633552 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633559 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633565 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633571 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633579 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633587 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633596 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633606 sending message 112 to peer 0x7f9cf8048000 (10 bytes)
1621442935.633616 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.633622 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.633628 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.633636 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.633644 sending message 112 to peer 0x7f9cf8048000 (10 bytes)
1621442935.633651 sending message 112 to peer 0x7f9cf8048000 (10 bytes)
