

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
060.975  000.375  000.375: require('cmp.utils.event')
062.017  000.268  000.268: require('cmp.utils.options')
062.041  000.761  000.492: require('cmp.utils.window')
062.043  001.043  000.282: require('cmp.view.docs_view')
062.679  000.194  000.194: require('cmp.utils.autocmd')
062.687  000.642  000.448: require('cmp.view.custom_entries_view')
063.010  000.322  000.322: require('cmp.view.wildmenu_entries_view')
063.281  000.269  000.269: require('cmp.view.native_entries_view')
063.504  000.222  000.222: require('cmp.view.ghost_text_view')
063.512  003.216  000.344: require('cmp.view')
063.590  010.711  000.653: require('cmp.core')
063.836  000.171  000.171: require('cmp.config.sources')
064.050  000.178  000.178: require('cmp.config.window')
064.119  011.652  000.593: require('cmp')
065.791  000.195  000.195: require('nvim-autopairs._log')
066.158  000.365  000.365: require('nvim-autopairs.utils')
067.334  000.526  000.526: require('nvim-autopairs.conds')
067.344  000.890  000.364: require('nvim-autopairs.rule')
067.347  001.186  000.296: require('nvim-autopairs.rules.basic')
067.359  002.493  000.747: require('nvim-autopairs')
067.688  000.327  000.327: require('nvim-autopairs.completion.handlers')
067.694  003.145  000.325: require('nvim-autopairs.completion.cmp')
067.753  015.423  000.626: require('config-cmp')
067.891  000.135  000.135: require('config-committia')
069.646  000.594  000.594: require('windline.themes')
070.233  000.584  000.584: require('windline.utils')
070.776  000.540  000.540: require('windline.component')
071.071  000.293  000.293: require('windline.click_utils')
071.095  002.901  000.890: require('windline')
071.470  000.373  000.373: require('windline.helpers')
072.797  000.690  000.690: require('windline.cache_utils')
072.807  001.335  000.645: require('windline.components.basic')
073.502  000.693  000.693: require('windline.components.lsp')
074.109  000.603  000.603: require('windline.components.git')
074.991  000.696  000.696: require('windline.themes.wind')
075.287  007.394  000.793: require('config-windline')
077.138  000.663  000.663: require('colorizer/nvim')
077.683  000.542  000.542: require('colorizer/trie')
077.998  002.708  001.503: require('colorizer')
083.922  000.465  000.465: require('vim.lsp.log')
085.006  001.080  001.080: require('vim.lsp.protocol')
087.267  000.731  000.731: require('vim.lsp._snippet')
087.707  000.436  000.436: require('vim.highlight')
087.751  002.741  001.573: require('vim.lsp.util')
087.810  005.015  000.729: require('vim.lsp.handlers')
088.861  001.049  001.049: require('vim.lsp.rpc')
089.494  000.630  000.630: require('vim.lsp.sync')
090.421  000.923  000.923: require('vim.lsp.buf')
090.817  000.393  000.393: require('vim.lsp.diagnostic')
091.248  000.428  000.428: require('vim.lsp.codelens')
091.361  010.170  001.733: require('vim.lsp')
091.425  010.824  000.654: require('lspconfig.util')
091.428  011.263  000.439: require('lspconfig.configs')
091.431  011.635  000.372: require('lspconfig')
091.840  000.200  000.200: require('mason-core.path')
092.435  000.267  000.267: require('mason-core.functional')
092.930  000.200  000.200: require('mason-core.functional.data')
092.937  000.477  000.277: require('mason-core.functional.function')
093.134  000.182  000.182: require('mason-core.functional.relation')
093.344  000.203  000.203: require('mason-core.functional.logic')
093.392  001.549  000.420: require('mason-core.platform')
093.613  000.218  000.218: require('mason.settings')
093.616  002.184  000.217: require('mason')
094.272  000.313  000.313: require('mason-core.functional.list')
094.521  000.245  000.245: require('mason-core.functional.string')
094.557  000.925  000.367: require('mason.api.command')
094.808  000.245  000.245: require('mason-registry.sources')
095.450  000.326  000.326: require('mason-core.log')
095.455  000.608  000.282: require('mason-lspconfig')
095.634  000.178  000.178: require('mason-lspconfig.settings')
095.884  000.230  000.230: require('mason-lspconfig.lspconfig_hook')
096.346  000.211  000.211: require('mason-core.functional.table')
096.407  000.520  000.310: require('mason-lspconfig.mappings.server')
096.932  000.213  000.213: require('mason-core.EventEmitter')
097.143  000.208  000.208: require('mason-core.optional')
097.708  000.304  000.304: require('mason-core.async')
097.884  000.172  000.172: require('mason-core.async.uv')
097.891  000.745  000.269: require('mason-core.fs')
097.908  001.498  000.332: require('mason-registry')
098.078  000.167  000.167: require('mason-lspconfig.server_config_extensions')
098.346  000.265  000.265: require('lspconfig.server_configurations.omnisharp')
098.776  000.158  000.158: require('mason-core.notify')
098.780  000.348  000.190: require('mason-lspconfig.ensure_installed')
099.731  000.251  000.251: require('mason-core.result')
099.772  000.606  000.355: require('mason-core.purl')
099.783  000.969  000.363: require('mason-core.package')
099.992  000.193  000.193: require('mason-registry.sources.lua')
100.346  000.350  000.350: require('mason-registry.index')
101.709  000.240  000.240: require('mason-core.receipt')
102.279  000.326  000.326: require('mason-core.process')
102.439  000.727  000.402: require('mason-core.spawn')
102.459  001.357  000.389: require('mason-core.installer.context')
102.674  000.213  000.213: require('mason-core.async.control')
103.017  000.340  000.340: require('mason-core.installer.linker')
103.024  002.247  000.337: require('mason-core.installer')
103.265  000.239  000.239: require('mason-core.providers')
103.303  002.774  000.288: require('mason-core.managers.npm')
103.531  000.190  000.190: require('mason-core.functional.type')
